sorszam;nehezseg;leiras;kategoria
154;2;Anteroseptalis kiterjedésű nem ST-elevációs szívinfarktus ;8
155;2;I. fokú AV-blokk, régi inferior és anteroseptalis nekrózis, JTSZB ;8
156;2;Pitvarfibrilláció jobb-Tawara-szár-blokkal régi anterior szívinfarktusban, reguláris, széles-QRS-tachycardia;8
157;3;Akut STEMI bal-Tawara-szár-blokk mellett, pitvarfibrillációban ;8
158;1;Pericarditis ;9
159;2;Pericarditis ;9
160;3;Nagy pericardialis folyadékgyülem, QRS alternans ;9
161;3;Myocarditis ;9
162;3;Low voltage, amyloidosis ;9
163;3;Low voltage, endomyocardialis fibrosis, kamrai tachycardia ;9
164;1;Pitvari pacemaker (AAI) ;9
165;1;Pitvari ingerlésű demand pacemaker, kamrai extrasystolék ;9
166;1;Kamrai pacemaker (VVI) ;9
167;3;Hiszterézis- és memóriajelenség időszakos VVI-pacemakeringerlésnél;9
168;2;VVI pacemaker, hosszú QT, TdP kamrai tachycardia ;9
169;2;Ineffektív VVI-ingerlés ;9
170;2;Pacemaker alulérzékelés (undersensing) ;9
171;2;Pacemaker-szindróma ;9
172;1;Kétüregi, pitvar-kamrai szinkron pacemaker (DDD) ;9
173;1;Pitvar-kamrai szinkron pacemaker ;9
174;1;Biventricularis pacemaker (BiV, CRT) ;9
175;1;Biventricularis pacemakeringerlés ;9
176;2;Biventricularis pacemaker diszfunkciója ;9
177;3;Pacemaker loop tachycardia ;9
178;2;Műtermék (a beteg mozgásából adódó) ;9
179;3;Műtermék (a gép meghibásodásából adódó);9
180;2;Műtermék (elektróda diszpozícióból adódó);9
